Title,Body
"रहेनन् चर्चित हलिउड अभिनेता कर्क डगलस, १०३ वर्षको उमेरमा भयो निधन","चर्चित हलिउड अभिनेता कर्क डगलसको १०३ वर्षको उमेरमा निधन भएको छ।उनी ६ दशकसम्म सिनेमा सक्रिय रहे।रंगमञ्च र सिनेमामा चिनिएका डगलस विविधतापूर्ण भूमिकाका लागि चर्चित छन्। उनलाई विशेष चर्चा भने सन् १९६० को क्लासिक सिनेमा 'स्पार्टाकस'मा गरेको शीर्ष भूमिकाले दिलायो।सन् १९१६ मा न्यू योर्क शहरमा जन्मिएका डगलस हलिउडको सुनौलो युगमा सफल अभिनेता हुन। उनलाई सन् १९४९ मा बक्सिङमा आधारित सिनेमा 'च्याम्पियन'ले पहिलो पटक ओस्कार मनोनयनमा पारेको थियो।उनी ओस्कार विजेता अभिनेता माइकल डगलासका पिता हुन्।'भारी उदासीका साथ मेरा भाइहरु म यो घोषणा गर्दछौं कि कर्क डगलासले हामीलाई आज छाडेर जानुभयो', पिताको निधनको खबर दिदैं जारी एक वक्तव्यमा माइकलले भनेका छन्।'संसारका लागि उहाँ एउटा मिथक हुनुहुन्थ्यो, सुनौलो युगको एउटा अभिनेता तर म र मेरा भाइहरु जोएल र पिटरका लागि एउटा बाबु हुनुहुन्थ्यो', सो वक्तव्यमा भनिएको छ।वक्तव्यमा माइकलले आफ्ना बाबुको अन्तिम जन्मदिनमा उनलाई भनेको कुरा पनि स्मरण गरेका छन्।'ड्याड-म तपाईंलाई सार्है माया गर्छु र तपाईंको छोरा हुन पाएकोमा मलाई गर्व छ', उनले जन्मदिनमा आफ्ना बाबु कर्कलाई भनेका थिए।कर्कले ९० बढी सिनेमामा काम गरे। सिनेमामा उनी १९४० देखि सन् २००० सम्म सक्रिय थिए।उनको कामको सर्वाधिक तारिफ बटुलेको सिनेमा 'स्पार्टाकस' थियो। सो सिनेमाले चार वटा ओस्कार जितेको थियो।सोही सिनेमाको 'आइ एम स्पार्टाकस' भन्ने संवाद पछि पप संस्कृतिको एउटा महत्वपुर्ण शब्दकोश बन्यो।कर्क डगलास तीन पटक ओस्कारको मनोनयनमा परेका थिए। उनी 'च्याम्पियन'बाट सन् १९४९ मा पहिलो पटक ओस्कारको मनोनयनमा परेका थिए भने त्यसपछि सन् १९५२ र १९५६ मा क्रमशः 'द ब्याड एण्ड द ब्यूटीफूल' र 'लस्ट फर लाइफ' सिनेमाबाट मनोनित भएका थिए।उनलाई सन् १९९६ मा सिनेमामा ५० वर्ष योगदान दिएको भन्दै सोका लागि ओस्कार प्रदान गरिएको थियो। "
केटाकेटीहरूको 'सुनौलो माछा',"शैली थिएटरको एघारौं राष्ट्रिय बाल नाटक महोत्सव बुधबारबाट सुरू भएको छ। आठ दिने महोत्सवमा विभिन्न विषयका १७ वटा बाल नाटक देखाइने छन्।यीबाहेक शैली थिएटरको 'सुनौलो माछा' नाटक पनि प्रस्तुत गरिनेछ।कार्यक्रमको औपचारिक उद्घाटनमा संस्कृति, पर्यटन तथा उड्ड्यन मन्त्री योगेश भट्टराई विशेष अतिथि थिए। उनले कार्यक्रमको अवसरमा प्रतिभा प्रस्तुतिका लागि पारित नाटकमा केटाकेटी देख्न पाएकोमा खुसी व्यक्त गरे।त्यस्तै प्रमुख अतिथि रहेका नेपाल संगीत तथा नाट्य प्रज्ञा प्रतिष्ठानका पूर्वकुलपति नारायणभक्त श्रेष्ठले आजका केटाकेटीलाई सांस्कृतिक पक्षसँगै नैतिक तथा चारित्रिक शिक्षा बुझाउनु अत्यावश्यक रहेकोमा जोड दिए।कार्यक्रमको सिलसिलामा नगेन्द्र राई (बाँसुरीवादक) र टोलीले 'राय' प्रस्तुति समेत दिए। आठ दिन लामो बाल नाटक महोत्सव कमलपोखरीस्थित रसियन सेन्टर अफ साइन्स एन्ड कल्चरको हलमा हुनेछ। दिनको दुईदेखि तीन वटा नाटक प्रस्तुत गरी महोत्सव माघ २९ गते टुंगिने तालिका छ।यस वर्षको महोत्सव इसान (इन्स्टिच्युट स्कुल एसोसिएसन नेपाल) र नेपाल संगीत तथा नाट्य प्रज्ञा प्रतिष्ठानको सहकार्यमा शैली थिएटरले आयोजना गरेको हो।महोत्सवमा सहभागी १७ नाटकमध्ये उत्कृष्ट नाटक र रंगकर्मीलाई पुरस्कार व्यवस्था रहेको शैली थिएटरका अध्यक्ष नवराज बुढाथोकीले जानकारी दिए।उत्कृष्ट नाटकलाई ७ हजार, उत्कृष्ट रंगकर्मी (बालक)लाई १० हजार, उत्कृष्ट रगंकर्मी (बालिका)लाई १० हजार, उत्कृष्ट निर्देशकलाई ७ हजार, 'इर्मजिङ' रगंकर्मीलाई ५ हजार र दर्शकको रोजाइ (पब्लिक अवार्ड)लाई ५ हजार रूपैयाँ नगदका साथै ट्रफी र प्रमाणपत्र पुरस्कार व्यवस्था छ।महोत्सवमा हरेक वर्ष विभिन्न विद्यालयबाट केटाकेटीहरूले सहभागिता जनाउँछन्। यस वर्ष महोत्सवमा ३६ नाटकमध्ये १७ नाटक प्रतियोगिताका लागि चुनिएको अध्यक्ष नवराजले बताए। विजेता चयनका लागि निर्णायक टोली गठन गरिएको छ।'पहिलेभन्दा बाल नाटक क्षेत्रमा धेरै परिवर्तन भएको देखिन्छ। सुरूका वर्ष निकै कम सहभागिता हुन्थ्यो। बर्सेनि सहभागी संख्या बढ्दो छ,' उनले भने, 'बाल नाटक महोत्सवबारे जानकारीपछि थुप्रै निजी विद्यालयले नाटकलाई प्राथमिकता दिएको पाएका छौं।'उनका अनुसार रगंमञ्च विस्तारका लागि यस प्रकारको परिवर्तनले निकै ठूलो भूमिका खेल्छ। साथै बालबालिकाको व्यक्तिगत विकासमा समेत टेवा पुर्‍याउन सफल भएको छ।महोत्सव उद्घाटन नाटकका रूपमा बुधबार शैली थिएटरद्वारा प्रस्तुत 'सुनौलो माछा' देखाइयो। यसका निर्देशक अध्यक्ष नवराज स्वयम् हुन्।'लोभले लाभ, लाभले विलाप' भन्ने सन्देशमूलक उक्त नाटक ६० मिनेट लामो छ। नाटकका प्रमुख पात्र (सुनौलो माछा) मा करिश्मा के.सी. देखिन्छिन् भने पर्दामा सुवास सुवेदी (बुढा), निमा पान्डे (बुढी), विशाल घिमिरे (महामन्त्री), निर्भीक भट्टराई र शतिश लुइँटेल (सेना) को पात्रमा देखिन्छन्।'सुनौलो माछा' मा मानिसको लोभ र असन्तुष्टिका कारण हुन सक्ने पतन चित्रण गरिएको छ।ओडारमा बस्ने दुई बुढा–बुढीको भाग्य सुनौलो माछासँगको भेटेपछि फेरिन्छ। सुनौलो माछाले बुढाले मागेको दिन सक्ने क्षमता बोकेकी हुन्छिन्।बुढीको माछा राख्ने भाँडाबाट सुरू भएको लोभले महलको महारानी बनाए पनि उनलाई सन्तुष्टि मिल्दैन। अन्ततः समुद्र पूरै राज गरी सुनौलो माछालाई समेत आफ्नो चरनमा ल्याउने सपनाले उनको भएको सुखसम्पत्ति पनि लुटिन्छ।बुढीको यस प्रकारको लोभको चरम सीमापछि बुढाले समेत उनको पतनपछि धिक्कारेर हिँड्न सक्ने साहस ल्याउँछन्।'औंला दिँदा डुँडुलो निल्न खोज्ने' प्रवृत्तिका कारण मानिस सुखी हुन नसकेको कथा नाटक मार्फत प्रस्तुत छ।यो नाटक माघ २९ गते पुनः मञ्चन हुँदैछ।यसप्रकारको नाटक हेरिसकेपछि बाल मस्तिष्कले समाज बुझ्न अप्रत्यक्ष रूपमा राम्रो भूमिका खेल्ने थिएटरका अध्यक्ष तथा नाटक निर्देशक नवराजले बताए।'बाल नाटक महोत्सव सुरू गर्दा आजको स्थानसम्म आइपुग्ला–नपुग्ला भन्ने सोचेको थिइनँ,' नवराज एघारौं महोत्सवको उद्घाटनसँगै थप खुसी मिलेको बताउँछन्।रसियन सेन्टर अफ साइन्स एन्ड कल्चरका निर्देशक युलिया एन्द्रशोभाले पनि साहित्य, संस्कृति र कला राज्यको गरिमा झल्काउन नाटकले विशेष भूमिका खेल्ने बताइन्। यो प्रयासमा लागेको शैली थिएटरसँग जोडिन पाउँदा उनले आभार पनि व्यक्त गरिन्।"
यस्तो बन्यो 'प्रेम गीत ३'को गीत(भिडिओ),"‘प्रेमगीत ३’ले आफ्नो पहिलो गीत सार्वजनिक गरेको छ।चैत २८ गते रिलिज हुने सिनेमा ‘हात्ती ढुंगामा’ बोलको गीत मंगलबार सार्वजनिक गरिएको हो।कल्याण सिंहले संगीत दिएको गीतमा मेलिना राई र सागर आलेको स्वर छ। गीत हर्क साउदले लेखेका हुन्।गीतलाइ कविराज गहतराजले कोरियोग्राफी गरेका हुन्।गीतमा सिनेमाका मुख्य कलाकार प्रदीप खड्का र क्रिष्टिना गुरुङ फिचर्ड छन्।छेतेन गुरुङ र सन्तोष सेनले निर्देशन गरेको सिनेमामा प्रदीप र क्रिष्टिनासँगै शिव श्रेष्ठ, सुनिल थापा, सन्तोष सेन, माओत्से गुरुङ, मनिष राउत, पुस्कर कार्की, प्रेम पुरी, लक्ष्मी वर्देवा, अनुभव रेग्मी, योगिशा खत्री, सम्वृद्धि शाही ठकुरी, क्रिजन गौतम, जीवन बराल, जीवन भट्टराई, सुजल बस्नेतलगायतका कलाकारको पनि अभिनय छ।"
"भाडावालाहरूको कथा-व्यथा 'के घर के डेरा'मा दया,विपिन र वर्षा","राजधानीमा कोठा भाडामा लिएर बस्नेहरुको कथा रहने ‘के घर के डेरा’ नामक सिनेमाको घोषणा भएको छ।राजधानीमा एक कार्यक्रमकाबीच सिनेमा निर्माणको घोषणा गरिएको हो। सुव्रत आचार्यको निर्देशन रहने सिनेमामा दयाहाङ राई, विपिन कार्की तथा वर्षा राउतको मुख्य भूमिका रहनेछ।सिनेमामा रविन्द्र झा, लूनिभा तुलाधर, आर्सिना भट्टलगायतका कलाकारको पनि अभिनय हुनेछ।यसै नाममा  पैँतीस वर्ष अगाडी निर्देशक प्रदीप रिमालले सिनेमा बनाइसकेका छन्।सिनेमाको पटकथा सफल केसी र प्रतिक गुरुङले लेखेका हुन्। उनीहरू दुबैले यसअघि ‘हरी’ सिनेमा निर्देशन गरेका थिए।दिर्घ वीर गुरुङले खिच्ने सिनेमामा शंकर थापा (स्माइल)को संगीत, मित्र डी गुरुङको सम्पादन र गम्भीर विष्टको कोरियोग्राफी रहनेछ। "
यस्तो बन्यो ‘चपली हाइट ३’को पहिलो गीत (भिडिओ)," ‘चपली हाइट ३’ले आफ्नो पहिलो गीत सार्वजनिक गरेको छ।सिनेमाको ‘चारानाको मसला’ बोलको गीत सार्वजनिक भएको हो।गीतमा स्वस्तिमा खड्का, सुपुष्पा भट्ट, आमिर गौतम, महेश त्रिपाठी र कोरियोग्राफर प्रदीप लामालाई देख्न सकिन्छ।सुभाष भुषालको संगीतमा तयार गीतमा राज खम्बु र अश्मिता अधिकारीको आवाज छ।डिपी खनालले लेखेको गीतमा प्रदीप लामा र द नेक्स्ट टिमले कोरियोग्राफी गरेका छन्।चैत २८ गते रिलिज हुने सिनेमालाई निकेश खड्काले निर्देशन गरेका हुन्। सिनेमामा स्वस्तिमा, सुपुष्पा, आमिर, महेशका अलावा अर्पण थापा, प्रतिकमान श्रेष्ठ, दीपाश्री निरौला, लक्ष्मी वर्देवा, लोकेन्द्र लेखकलगायातका कलाकारको अभिनय छ।आकाश बरालको लेखन र संवाद रहेको सिनेमामा सुभाष भुषाल/अर्जुन कुमारको संगीत, अष्ट महर्जनको एक्सन, पुरुषोत्तम प्रधानको छायांकन र दिर्घ खड्काको सम्पादन छ।"
१ करोड १५ लाखमा बिक्यो 'सेन्टी भाइरस'को अन्तराष्ट्रिय वितरण,"मुनाफाको ५० प्रतिशत चितवनमा निर्माणाधिन 'गौतम बुद्ध अन्तराष्ट्रिय क्रिकेट रंगशाला'मा खर्चने घोषणा गरेको 'सेन्टी भाइरस'को अन्तराष्ट्रिय वितरण अधिकार महँगोमा बिकेको छ।सिनेमालाई अमेरिकाको नेप्सिने कम्पनीले १ करोड १५ लाख रूपैयाँमा किनेको छ।आज सोमबार निर्माण कम्पनी र नेप्सिने कम्पनीबीच यसको खरिद सम्झौता गरेको हो।रामबाबु गुरुङ निर्देशित सिनेमा फागुन ९ गते रिलिज हुँदैछ। सिनेमामा सीताराम कट्टेल, कुञ्जना, दयाहाङ राई, विल्सन विक्रम राई, बुद्धि तामाङ, राजाराम पौडेल लगायतले साथ दिएका छन्।"
"अक्षय कुमार 'म्यान भर्सेस वाइल्ड'मा, दीपिका र विराटको पनि सम्भावना","भारतीय प्रधानमन्त्री नरेन्द्र मोदी र अभिनेता रजनीकान्तपछि 'म्यान भर्सेस वाइल्ड' मा अक्षय कुमार प्रवेश गरेका छन्। सञ्चारमाध्यमहरूका अनुसार उनले कार्यक्रम प्रस्तोता बियर ग्रिल्ससँग सुटिङ सकिसकेका छन्। अक्षयको सुटिङ कर्नाटकको बान्दीपुर टाइगर आरक्षण तथा नेसनल पार्कमा भएको बताइएको छ। सुटिङका केही फोटा सार्वजनिक भएका छन्। फोटोमा अक्षय, बियर र कार्यक्रम टोली वन अधिकृतहरूसँग देखिन्छन्। उनीहरूले पाँच ठाउँमा सुटिङ गर्ने भनिए पनि दुई ठाउँ मात्र गरेर हिँडेको बताइएको छ। उनीहरूले जम्मा तीन घन्टा सुटिङ गरेका छन्। यसअघि रजनीकान्तले पनि यही पार्कमा सुटिङ गर्दा वातावरण अभियन्ताहरूले आलोचना गरेका थिए। जंगलमा क्यामरा र सुटिङले गर्दा जनावरमा खतरा पर्न सक्ने भन्दै अभियन्ताहरूले रजनीकान्तको आलोचना गरेका थिए। बियर ग्रिल्सको यो कार्यक्रममा अब अभिनेत्री दीपिका पादुकोण र क्रिकेटर विराट कोहली पनि जान सक्ने सम्भावना छ। उनीहरूका साथमा अरू सेलेब्रेटी पनि हुने अनुमान छ। "
"हरभजन सिंह सिनेमामा आउँदै, यो सिनेमामा बन्दैछन् मुख्य अभिनेता","भारतीय क्रिकेटर हरभजन सिंहले अभिनयमा डेब्यू गर्ने भएका छन्।सिहं तमिल सिनेमा 'फ्रेन्डसिप'बाट सिनेमामा डेब्यू हुन लागेका हुन्।आइतबार आफ्नो डेब्यू सिनेमाको पोस्टर ट्वीट गर्दै उनले आफ्नो अभिनय यात्राको जानकारी दिएका हुन्। सिनेमाको पोस्टरमा दुई पुरुष हातलाई एउटै हतकडी लगाएको देखाइएको छ।यो सिनेमालाई जोन पउल राज र साम सूर्याले बनाउन लागेका हुन्।सिनेमा यसै गर्मीमा रिलिज हुने बताइएको छ।सिंह बलिउड अभिनेत्री गीता बासराका पति हुन्।हरभज भारतीय टेस्ट क्रिकेट इतिहासम सर्वाधिक विकेट लिने दोश्रा अफस्पिनर हुन्।நேற்று கீச்சு,சினிமா கதாபாத்திரம்,இணைய தொடர்.இன்று #SeantoaStudio #CinemaaStudio தயாரிக்கும் #FriendShip படத்தின் நாயகன்.#தமிழ் மக்களுக்கு நன்றி.திருக்குறள் டூ திரைப்பயணம் எல்லாம் சாத்தியப்படுத்தியது என் #தலைவர் #தல #தளபதி சின்னாளப்பட்டி சரவணன்-@ImSaravanan_P அசத்துவோம் @JPRJOHN1 pic.twitter.com/Z5pePt7R72 "
"२५० करोड कमाउँदा पनि रजनीकान्तको 'दरबार' फ्लप, क्षतिपुर्ति खोज्दै वितरक",तमिल अभिनेता रजनीकान्तको पछिल्लो रिलिज वक्सअफिसमा फ्लप भएको खुलासा भएको छ।सिनेमा फ्लप भएर घाटामा गएपछि एआर मुर्गादोषको निर्देशनमा बनेको सिनेमाका वितरकहरुले क्षतिपूर्तिका लागि ७० वर्षीय रजनीकान्त ढोका ढक्ढकाउने भएका छन्।उनीहरुले रजनीकान्तलाई उनकै निवासमा भेट्ने बताइएको छ। उनीहरुले रजनीकान्तले समस्या बुझेर आफूहरूलाई क्षतिपूर्ति दिने आशा राखेका छन्।यसअघि रजनीकान्तले 'लिङ्गा' नामक सिनेमा फ्लप भएपछि वितरकहरुलाई रकम फिर्ता दिएका थिए।वितरकहरूले सिनेमा निर्माण कम्पनी लाइका प्रोडक्सनले कुनै चासो नदिएपछि रजनीकान्तलाई भेट्ने निर्णय गरेका हुन्।रजनीकान्तको सो सिनेमाको लागत दुई समय करोड भारूमा तयार भएको हो जसमा रजनीकान्त एक्लैलाई पारिश्रमिक बापत एक सय आठ करोड भारू दिइएको थियो।सिनेमाले विश्वव्यापी रुपमा २५० करोड भारू कमाएको बताइन्छ। 
"हलिउड अभिनेता जोनी डेप पूर्वपत्नी एम्बरबाट कुटिने गरेको खुलासा, फ्यानहरूले गरे कारवाहीको माग","हलिउड अभिनेता जोनी डिपका प्रशंसकहरूले उनकी पूर्वपत्नीमाथि कारवाहीको माग गरेका छन्।हालै सार्वजनिक भएको एक भिडिओमा जोनकी पूर्वपत्नी एम्बर हर्डले जोनीलाई कयौंपटक प्यान र अन्य भाँडाले हानेको स्वीकार गरेको खुलासा भएपछि उनीहरुले त्यस्तो माग गरेका हुन्।घटना सार्वजनिक भएपछि जोनीका फ्यानहरुले ट्वीटरमा जोनी डिपलाई न्याय देउ भन्ने ह्यास ट्याग(जस्टिस फर जोनी डेप) नै चलाएका छन् जुन हाल ट्रेण्डिङमा समेत रहेको छ।डेलीमेलमा प्रकाशित रिपोर्टमा एम्बरले जोनीलाई प्यान र अन्य भाँडाले थुप्रै पटक हानेको कुरा स्वीकार गरेको सुन्न सकिन्छ।'मलाई माफ गरिदेऊ कि मैले तिम्रो गाला राम्ररी चड्काइन तर पनि तिमीलाई मैले हाने र त्यो मुक्का थिएन, बेबी तिमीलाई मुक्का हानिएको छैन', सो अडियो, उनले भनेको सुनिन्छ।'मलाई थाहा छैन मेरो हात किन त्यस्तरी चले तर तिमीलाई ठीक छ, मैले तिमीलाई कुनै चोट पुर्‍याइन। मैले मुक्का हानिन्,मैले तिमीलाई हिर्काइरहें।'यो एम्बरको अनुमतिमा दुई घण्टा लामो थेरापी अन्तरगत उनको फोनमा गरिएको रेकर्डबाट सार्वजनिक भएको हो।सो अडिओमा जोनीको पनि आवाज छ।'म हिजो राती निस्कन पर्‍यो। इमानदारिताका साथ तिम्रो कसम खाएर भन्छु मैले तिमीले त्यसरी देखाएको व्यवहारलाई लिनै सकिन। त्यो एकअर्काप्रति अति नै थियो। किनकी हामीले त्यसलाई निरन्तरता दिएको भए, त्यो अझै नराम्रो हुन सक्थ्यो। र बेबी मैले तिमीलाई पहिला पनि भनेको थिएँ मलाई मृत्युसँग डर लाग्छ, अहिले हामी एउटा अपराधस्थलमा छौं', सो अडिओमा जोनले भनेका छन्।'मैले तिमीमाथि प्यान र भाँडाहरुले हानेभन्दैमा तिमीले मेरो ढोका ढक्ढकाउन मिल्दैन भन्ने होइन', सो अडिओमा एम्बरको जवाफ सुनिन्छ।त्यसपछि जोनले आफूलाई हानिएको फूलदानी आफ्नो साथमा रहेको बताउँछन्।सोको जवाफ एम्बरले 'फुलदानी छ भन्दैमा आएर ढोका ढक्ढकाउन पाइदैन' भनेर जवाफ फर्काएकी छिन्।'साँच्चै, मैले तिमीलाई हिर्काउँन दिनुपर्थ्यो? तिमीलाई आजसम्म मैले केहीले हानेको छु भने त्यो अस्ट्रेलियामा तिमीले क्यानले हिर्काएको बेलामात्र हो', जोनीले एम्बरलाई जवाफमा भन्छन्।जोनी र एम्बरबीच सन् २०१६ को मेमा सम्बन्ध विच्छेद भएको थियो। सम्बन्ध विच्छेदपछि एम्बरले वासिङटन पोस्टमा आफूमाथि घरेलु हिंसा भएको भन्दै अन्तरवार्ता दिएकी थिइन्।सो अन्तरवार्तापछि सन् २०१८ मा जोनीले आफ्नो मानहानी भएको भन्दै पूर्वपत्नी एम्बरविरुद्ध ५० मिलियन अमेरिकी डलरको मानहानी मुद्दा दायर गरेका थिए।त्यसपछि सन् २०१९ को नोभेम्बरमा एम्बरले आफ्ना पूर्वपति जोनीको स्वतन्त्र मानसिक जाँच हुनुपर्ने माग राखेकी थिइन। उनले जोनीले खाने लागुऔषध, रक्सी तथा सिफारिस गरिएका औषधिका कारण आफूमाथि दुर्व्यबहार गराएको भन्दै सो माग गरेकी थिइन्।"
सार्वजनिक भयो ‘लभ डायरिज’को ‘अधुरो लाग्छ मेरो जीवन’,"‘लभ डायरिज’को रोमान्टिक गीत सार्वजनिक गरेको छ। फागुन २ गते रिलिज हुने सिनेमाले ‘अधुरो लाग्छ मेरो जीवन’ बोलको गीत सार्वजनिक गरेको हो।गीतमा सुशील श्रेष्ठ, रुविना थापा र विश्वजित रिमाल बीचको त्रिकोणात्मक प्रेम प्रस्तुत गरिएको छ।प्रविण पौडेलको संगीत रहेको गीतमा प्रताप दास र प्रविशा अधिकारीको युगल स्वर छ। गीत मानसविक्रम थापाले लेखेका हुन्।सिनेमालाई सौरभ चौधरीले निर्देशन गरेका हुन्। सिनेमामा सुशील, रुबिना र विश्वजित प्रमुख भूमिका छन्। "
